,rounds,opening,winner
0,7,"(1, 1)",mcts
1,5,"(1, 1)",mcts
2,5,"(0, 0)",mcts
3,5,"(1, 1)",mcts
4,5,"(1, 1)",mcts
5,5,"(1, 1)",mcts
6,5,"(1, 1)",mcts
7,5,"(1, 1)",mcts
8,5,"(1, 1)",mcts
9,5,"(1, 1)",mcts
10,9,"(1, 1)",mcts
11,5,"(1, 1)",mcts
12,5,"(1, 1)",mcts
13,5,"(1, 1)",mcts
14,5,"(1, 1)",mcts
15,5,"(1, 1)",mcts
16,5,"(1, 1)",mcts
17,5,"(1, 1)",mcts
18,5,"(2, 0)",mcts
19,5,"(2, 2)",mcts
20,5,"(1, 1)",mcts
21,5,"(1, 1)",mcts
22,5,"(1, 1)",mcts
23,5,"(1, 1)",mcts
24,5,"(0, 2)",mcts
25,5,"(1, 1)",mcts
26,5,"(1, 1)",mcts
27,5,"(1, 1)",mcts
28,5,"(1, 1)",mcts
29,5,"(0, 0)",mcts
30,5,"(1, 1)",mcts
31,5,"(1, 1)",mcts
32,5,"(2, 0)",mcts
33,5,"(1, 1)",mcts
34,5,"(1, 1)",mcts
35,5,"(1, 1)",mcts
36,5,"(0, 0)",mcts
37,5,"(1, 1)",mcts
38,5,"(1, 1)",mcts
39,5,"(1, 1)",mcts
40,5,"(1, 1)",mcts
41,5,"(0, 2)",mcts
42,5,"(1, 1)",mcts
43,5,"(2, 2)",mcts
44,5,"(1, 1)",mcts
45,5,"(1, 1)",mcts
46,5,"(1, 1)",mcts
47,5,"(0, 2)",mcts
48,5,"(1, 1)",mcts
49,5,"(2, 0)",mcts
